username,dim_A_q1,dim_A_q2,dim_A_q3,dim_A_q4,dim_A_q5,dim_R_q1,dim_R_q2,dim_R_q3,dim_R_q4,dim_R_q5,dim_C_q1,dim_C_q2,dim_C_q3,dim_C_q4,dim_C_q5,dim_S_q1,dim_S_q2,dim_S_q3,dim_S_q4,dim_S_q5
student1,5,3,3,1,3,5,3,4,2,5,4,3,4,5,1,3,3,4,3,3
student2,1,1,5,3,1,3,3,2,1,3,3,2,2,3,5,4,1,2,2,1
student3,5,3,5,5,4,3,3,5,2,1,4,2,3,1,3,4,4,2,2,2
student4,1,2,5,3,2,5,2,1,5,1,3,5,5,5,5,3,2,4,3,5
student5,3,1,1,4,2,2,2,3,2,4,4,4,4,2,3,5,3,3,3,4
student6,1,1,3,2,2,5,1,1,2,2,5,2,2,4,5,3,2,1,5,1
student7,5,5,2,2,5,2,1,4,5,5,3,1,4,3,3,1,4,1,5,3
student8,1,5,2,1,2,1,3,1,5,3,2,5,4,5,2,4,5,5,5,2
student9,2,1,5,4,1,2,1,4,3,5,1,3,1,1,3,5,1,2,1,5
student10,1,5,3,1,5,4,2,3,2,2,5,2,1,1,3,1,3,5,5,3
student11,4,5,5,3,5,1,4,3,4,4,4,2,1,3,1,5,3,5,4,2
student12,1,3,2,5,1,1,2,4,4,5,2,5,4,5,1,4,5,1,5,4
student13,4,4,2,2,5,2,2,1,5,5,3,2,4,1,4,4,4,1,3,4
student14,3,1,5,1,1,1,3,1,1,4,4,2,5,5,4,2,1,2,2,5
student15,3,4,3,5,5,1,4,3,5,4,3,5,2,4,1,3,2,1,2,1
student16,4,2,4,5,3,2,3,3,2,4,1,3,3,5,2,1,4,1,5,3
student17,3,5,5,5,2,1,4,4,4,4,3,2,2,4,3,4,5,2,1,3
student18,2,3,1,2,3,4,1,3,1,2,1,1,4,4,2,4,3,4,2,2
student19,2,2,2,3,3,1,3,4,3,4,3,5,1,2,4,2,4,2,5,5
student20,4,1,3,3,2,5,3,2,4,1,4,3,2,4,1,5,3,2,2,3
student21,1,4,5,1,5,4,2,4,1,3,4,4,3,3,3,4,3,5,3,3
student22,5,2,4,5,3,4,5,5,3,4,5,2,3,2,5,4,4,3,4,3
student23,2,2,4,1,4,2,2,5,5,1,4,1,2,2,2,5,2,5,5,3
student24,2,3,4,2,3,3,5,2,5,5,4,4,4,5,3,5,5,3,3,5
student25,3,2,3,2,5,3,2,3,1,3,4,1,1,1,3,3,4,1,2,2
student26,4,1,4,1,1,1,4,4,5,2,4,5,5,4,5,1,3,5,4,5
student27,2,2,5,3,5,5,1,2,3,1,3,4,4,5,4,2,1,3,2,1
student28,4,4,1,5,1,4,3,4,2,2,1,3,1,1,1,4,5,4,5,2
student29,5,1,1,1,1,3,1,1,2,4,4,4,3,4,5,5,4,5,4,3
student30,3,5,2,3,4,1,1,1,4,1,1,4,3,2,5,2,3,4,5,5
student31,5,5,3,4,3,5,3,1,3,2,2,4,1,4,1,2,2,2,5,1
student32,1,5,5,2,3,3,5,5,3,5,2,4,5,5,3,3,4,4,1,5
student33,2,3,2,3,5,5,1,1,3,2,1,2,1,1,5,1,1,5,5,5
student34,5,4,5,3,2,2,1,2,3,3,5,3,4,3,4,3,5,1,4,2
student35,5,5,1,4,3,5,3,1,3,1,5,1,2,3,2,2,1,5,2,5
student36,1,3,4,2,3,4,3,4,1,2,5,5,2,4,3,1,2,3,1,1
student37,3,2,5,1,1,3,3,3,5,3,5,4,5,3,5,4,2,2,4,4
student38,4,5,5,1,1,4,1,2,3,2,3,5,1,5,1,4,1,3,1,3
student39,3,2,4,1,4,1,5,2,5,5,1,3,3,1,3,3,2,1,1,5
student40,1,4,3,3,4,1,3,1,5,5,2,2,3,2,2,3,4,1,5,2
student41,1,2,3,2,2,1,4,4,3,2,3,5,1,2,2,4,2,5,1,4
student42,1,2,1,1,2,1,2,2,2,5,5,3,3,1,2,5,1,3,4,3
student43,5,1,5,5,5,5,1,4,3,4,2,3,2,2,3,3,5,1,4,2
student44,5,5,3,4,5,4,1,1,5,4,3,5,4,5,2,3,3,1,2,4
student45,2,5,4,4,3,2,4,3,2,5,4,3,3,2,4,3,4,3,1,3
student46,5,1,3,1,2,5,4,2,2,4,4,3,5,1,3,4,1,4,5,4
student47,1,5,3,3,1,1,2,1,1,3,2,5,5,1,4,1,4,4,3,3
student48,4,4,5,5,5,5,1,1,2,2,4,1,1,2,3,4,3,3,2,1
student49,5,4,5,1,3,1,1,2,1,1,5,4,1,1,1,5,5,3,3,3
student50,3,5,5,2,1,4,3,1,3,5,5,2,5,3,4,3,2,1,2,4
student51,2,2,2,1,2,3,5,1,2,1,5,4,5,4,1,5,5,4,5,1
student52,3,1,5,4,5,4,2,3,5,2,5,5,4,4,2,2,1,5,4,1
student53,4,3,2,2,1,3,1,4,3,3,1,2,2,2,4,4,2,4,3,2
student54,4,4,1,4,3,4,4,3,5,1,3,2,4,4,5,5,2,5,4,2
student55,4,5,5,2,3,5,2,4,1,5,3,1,3,3,2,2,2,1,3,2
student56,2,5,2,3,3,5,3,1,5,5,5,4,4,3,5,4,2,4,3,1
student57,2,4,1,2,2,2,5,4,3,2,3,1,5,3,1,4,3,1,5,5
student58,2,2,4,5,1,2,4,4,5,1,4,1,4,2,1,5,5,2,3,2
student59,1,4,3,2,2,3,4,5,4,4,3,3,5,4,4,3,3,5,2,3
student60,2,1,4,4,3,2,3,4,2,2,2,1,1,1,5,1,5,5,2,3
student61,2,2,3,1,1,3,2,1,3,3,1,2,5,2,2,3,3,3,1,4
student62,2,2,5,3,1,2,2,5,3,1,5,2,4,5,2,4,2,1,4,2
student63,5,5,1,5,5,3,2,5,3,3,4,3,5,1,2,1,2,3,3,3
student64,1,5,5,4,5,1,1,2,1,1,1,2,3,3,1,4,1,3,2,4
student65,1,1,2,3,3,5,1,5,3,2,4,2,4,1,2,5,1,5,4,5
student66,3,2,3,4,2,4,3,2,5,1,2,1,2,3,2,2,3,1,2,2
student67,4,5,4,3,5,3,4,3,1,2,2,5,2,2,3,1,3,3,5,4
student68,3,4,2,3,4,2,3,3,2,2,1,3,2,3,5,3,4,5,1,5
student69,1,3,2,3,4,5,3,5,1,3,3,5,4,4,2,4,1,3,4,2
student70,2,4,3,1,1,3,1,1,2,3,3,3,3,5,4,5,2,4,2,1
student71,3,3,2,4,5,5,1,3,5,2,1,3,1,2,4,4,5,2,1,4
student72,3,2,1,2,5,4,3,4,2,3,4,5,3,1,2,4,1,2,2,3
student73,1,4,5,1,3,2,5,3,2,4,3,1,4,2,1,3,2,5,3,5
student74,3,5,4,5,3,1,3,5,3,4,2,3,3,3,2,3,1,4,1,1
student75,4,4,2,4,4,2,4,1,4,5,2,3,2,1,4,3,4,5,4,1
student76,3,5,1,2,2,3,1,1,2,4,1,2,5,1,4,3,1,4,5,2
student77,5,1,3,5,5,3,2,4,3,3,1,1,4,2,2,3,3,3,2,1
student78,3,1,1,2,4,5,3,3,3,3,2,4,3,3,1,4,1,5,5,3
student79,2,4,3,5,5,3,1,1,5,2,5,5,4,4,3,1,5,4,2,3
student80,1,4,4,1,3,5,1,3,3,3,5,1,2,2,4,3,1,5,2,4
student81,1,5,5,5,5,1,5,1,5,3,4,5,5,2,5,5,1,3,5,5
student82,2,5,5,3,1,3,3,3,5,2,2,3,3,3,5,2,4,4,5,4
student83,3,5,1,1,3,2,2,2,2,4,4,4,5,5,4,4,2,5,2,1
student84,4,1,5,1,3,1,4,2,2,2,1,2,4,4,1,2,4,1,3,3
student85,1,4,2,2,1,2,3,4,4,5,4,4,5,1,4,5,2,5,5,3
student86,1,4,2,1,3,2,2,3,3,1,4,3,3,2,4,5,2,1,2,5
student87,3,3,5,2,5,1,3,1,2,3,2,4,1,4,5,1,2,3,4,4
student88,5,5,4,1,4,3,2,4,5,1,4,2,4,5,2,1,1,2,5,2
student89,3,2,2,2,3,1,3,2,2,3,2,4,3,2,4,1,2,2,3,5
student90,3,1,2,4,4,4,4,1,1,2,1,2,2,2,5,2,5,4,1,1
student91,4,4,4,2,4,5,4,5,5,5,1,1,5,3,5,4,2,1,2,2
student92,1,1,4,4,1,4,3,2,5,5,4,4,3,5,1,1,4,3,5,2
student93,1,2,4,2,4,2,3,2,1,2,2,3,2,5,2,5,2,1,2,3
student94,5,3,3,4,4,1,4,5,4,3,3,3,3,3,4,3,2,2,2,2
student95,3,3,3,4,3,4,1,5,2,5,2,4,4,2,1,3,5,4,4,3
student96,1,4,1,3,1,5,5,3,2,4,1,1,4,1,1,4,3,1,5,2
student97,1,1,3,4,3,5,3,1,3,1,3,3,3,1,1,1,3,3,4,3
student98,3,2,2,3,1,2,2,2,2,2,2,5,2,4,5,5,5,5,5,3
student99,1,1,1,2,4,5,2,5,5,3,5,2,1,3,1,4,1,4,1,1
student100,3,2,3,3,1,1,5,5,1,1,3,1,2,5,5,3,2,3,1,3
